rating,date,review,normalized_review,cleaned_review,is_text_duplicate,language,language_confidence,review_length,word_count,emoji_count,exclamation_count,question_count,uppercase_ratio,is_long_review,review_length_log1p,review_length_capped,year,month,day,weekday,is_weekend,is_positive,is_negative,rating_centered,site,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,text_svd_15,text_svd_16,text_svd_17,text_svd_18,text_svd_19,text_svd_20
3.0,2026-07-14,"Visualmente una obra de arte, por lo demás genérica","Visualmente una obra de arte, por lo demás genérica",visualmente una obra de arte por lo demás genérica,0,es,0.9999955984354268,51,9,0,0,0,0.023809523809523808,0,3.9512437185814275,51,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.1556085556039655,-0.18905915549242283,-0.09817215329819008,-0.0323857978817592,0.07526776519717276,0.04519504744149044,0.05557693902957488,-0.035116959274144564,-0.05458174380026412,-0.03473462329733273,0.022710546363318262,-0.060730900465230477,0.003202784465597306,0.01651527645845159,0.2197758049286838,-0.1580325455611627,0.05496017516071599,0.1293699747892494,-0.04310205325198477,0.00875677257906904
3.0,2026-07-14,Payakan is the whale in whalien 52,Payakan is the whale in whalien 52,payakan is the whale in whalien 52,0,en,0.9999967999618293,34,7,0,0,0,0.038461538461538464,0,3.5553480614894135,34,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.19595658950814152,0.0664480718937151,-0.004814099265109318,-0.06760017340850989,-0.04038958299525798,-0.010346256463212168,0.018803862771352504,-0.032909518454705564,-0.030301309167251645,-0.016160325661331444,0.11311388420858626,-0.05424436150743582,0.058446759660984164,-0.11754920772276818,0.057710886237161974,0.11693183624611869,0.02041193279667398,0.03780329791970368,-0.10355965969460033,0.03925176622962608
3.0,2026-07-14,C cool à regarder mais la tête des avatars elle fait trop peur,C cool à regarder mais la tête des avatars elle fait trop peur,c cool à regarder mais la tête des avatars elle fait trop peur,0,fr,0.9999966675238254,62,13,0,0,0,0.02,0,4.143134726391533,62,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.21463357887935328,-0.14203147641295844,-0.11100333106714051,0.2923192598761333,-0.16121601717149164,0.11378652201821918,-0.009370822881674599,-0.042037250964554136,-0.1309096091558572,0.11396801124304093,-0.005653255038197995,0.036718933262514755,-0.02418876701491415,-0.030804876706662637,0.033718605386259246,0.16338594042714258,0.1245062611967372,-0.012154544460132716,0.08475116711572589,-0.05793354507957454
5.0,2025-04-01,MEU FILME FAVORITO,MEU FILME FAVORITO,meu filme favorito,0,de,0.9999944769610558,18,3,0,0,0,1.0,0,2.9444389791664403,18,2025,4,1,Tuesday,0,1,0,1.00836820083682,letterboxd,0.1367514585043211,-0.16388893180807595,-0.10046978174112182,0.14511980680799222,0.0407036435729979,-0.08330420407788582,-0.16154471157300218,0.12296264207139605,0.1571398316345817,-0.1617768961440836,-0.01875971925675228,-0.045617782222412535,0.005379323263039867,-0.09008795495586808,-0.09555004634479747,-0.11203462639309608,0.12187024668033358,0.1269794467008917,0.19794038067597672,-0.07581312335405364
2.0,2026-07-14,Genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,Genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,0,en,0.9999975093342601,89,18,0,0,0,0.014084507042253521,0,4.499809670330265,89,2026,7,14,Tuesday,0,0,1,-1.99163179916318,letterboxd,0.38530217414331797,0.20119400521054392,0.001561755333879683,0.06501089043802147,0.14010904260620896,-0.16726580905266675,0.12497215006656165,0.1345165924153253,-0.058801734198611975,0.04374243028606905,0.022245041573177374,0.06635619830680992,-0.09160289877471689,0.024925503867068762,-0.10458792076708444,0.0445645557050657,-0.1466402193811667,-0.15182920233950836,0.07084881961008756,0.021950177366416433
5.0,2026-07-14,"que filme lindo, mds spider pau no cu odeio ele pqp","que filme lindo, mds spider pau no cu odeio ele pqp",que filme lindo mds spider pau no cu odeio ele pqp,0,pt,0.8571397198377556,51,11,0,0,0,0.0,0,3.9512437185814275,51,2026,7,14,Tuesday,0,1,0,1.00836820083682,letterboxd,0.17919995677737363,-0.27662689475974966,-0.11987537169979737,-0.04926952882870265,0.030276727304092872,-0.030953976811824543,-0.13143607610165436,0.15790177929696772,0.13086563818242716,-0.06127619995518412,-0.01151011672696576,-0.07687328473328597,-0.032953669452424665,-0.09141620947157611,-0.060194819606529865,0.14861082094909733,0.16721251625296732,0.01845368026221146,-0.10825844735609866,0.2736432949193099
4.0,2026-07-14,Ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,Ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,0,tr,0.9999982685518155,122,19,0,0,0,0.00980392156862745,0,4.812184355372417,122,2026,7,14,Tuesday,0,1,0,0.008368200836819994,letterboxd,0.13154391102363713,-0.07160219185936634,-0.023078165624346173,-0.024326394255276274,0.0001377253340080743,0.02658839063003115,-0.0024984407365918424,0.03250153107353321,-0.015875996194469052,-0.06263102939184773,0.05747425346494391,0.09335223452726536,0.1620611205426785,0.07275383001070694,-0.0720659079989607,0.037586930449909156,-0.02909694169576961,0.007094316921594421,-0.011985339901053247,0.10178175725794729
1.0,2026-07-14,1 star only bc bailey bass hot asf,1 star only bc bailey bass hot asf,1 star only bc bailey bass hot asf,0,en,0.9999973006877421,34,8,0,0,0,0.0,0,3.5553480614894135,34,2026,7,14,Tuesday,0,0,1,-2.99163179916318,letterboxd,0.13178359408483695,-0.0025814212160603263,-0.015014421403330985,0.09043937476796082,-0.11787347596685108,0.05217391455485956,-0.02259647386169955,-0.05615940065152752,-0.05396874375839286,-0.0671202614773696,-0.07731255705212442,-0.013723278795357265,0.004688709842315997,-0.02941184293958568,0.06080540317943504,0.020328256219354045,-0.04130696096922264,0.11755174197917649,-0.03619342851571961,-0.01945743381538384
4.0,2026-07-14,how could you kill him james how could you….,how could you kill him james how could you....,how could you kill him james how could you,0,en,0.8571419474402376,46,9,0,0,0,0.0,0,3.8501476017100584,46,2026,7,14,Tuesday,0,1,0,0.008368200836819994,letterboxd,0.13328535866531455,-0.015529503485888167,0.02304725837498694,-0.10344684630144842,-0.07838485265533301,0.19601227699705814,0.17701971041405423,0.12206665673294258,0.16149601716933978,-0.01252506664991189,-0.036379270258865073,-0.029066008102106307,-0.11850278388258947,-0.06686836034225603,-0.0127055912273216,0.05866823234016732,0.00579343142224124,-0.02469803579637281,-0.09126750626516014,0.001319281080660111
5.0,2026-07-14,"Misma historia, pero es un masterpiece.","Misma historia, pero es un masterpiece.",misma historia pero es un masterpiece,0,es,0.9999955546671191,39,6,0,0,0,0.03125,0,3.6888794541139363,39,2026,7,14,Tuesday,0,1,0,1.00836820083682,letterboxd,0.12445179026627394,-0.1481157118864974,-0.06386955996510091,-0.025742758831556727,0.02585640651429268,0.014348678139390565,0.06920509047948027,-0.024609830949914733,-0.058733385073529834,0.025559995090495596,0.008788926230799736,0.03962748168820298,-0.0026171168172867782,0.034983944657345514,-0.008483690647645438,-0.006584550267945343,-0.00417735074877748,0.02720471314925761,0.07832870180728788,-0.041428122176104296
